15	f˸24ساعت§n-12634	f˸مثال	f˸"در شبانه روز باید6 بار قطره ها را در چشمهایت به فاصله ی 4 ساعت بچکانید"
178	f˸آب سفید§n-19372	f˸تعریف	f˸"بیماری ناشی از تارشدن عدسی یا قرنیه‌ی چشم که مانع از عبور آزادانه نور به شبکیه می‌شود و بینایی را مختل می‌کند"
106849	f˸چشم زدن§v-20550	f˸تعریف	f˸"مورد آسیب جانی یا مالی قرار دادن کسی بر اثر چشم زخم"	
106849	f˸چشم زدن§v-20550	f˸تعریف	f˸"مورد آسیب جانی یا مالی قرار دادن کسی بر اثر چشم زخم"	
106850	f˸چشم نواز بودن#v1	f˸عضو هم‌نشیم	f˸چشم نواز بودن§v-9374	
106850	f˸چشم نواز بودن#v1	f˸عضو هم‌نشیم	f˸چشم نواز بودن§v-9374	
106851	f˸چشم نواز بودن§v-9374	f˸ISA	f˸بودن§v-9328	
106852	f˸چشم نواز بودن§v-9374	f˸مثال	f˸"غرق تماشای کوههای پوشیده از برف شد که بسیار چشم نواز بود"	
106852	f˸چشم نواز بودن§v-9374	f˸مثال	f˸"غرق تماشای کوههای پوشیده از برف شد که بسیار چشم نواز بود"	
106853	f˸چشم نواز بودن§v-9374	f˸تعریف	f˸"بصورتی درآمدن که دیدن آن مطبوع و خوشایند است"	
106854	f˸چشم نواز کردن#v1	f˸عضو هم‌نشیم	f˸چشم نواز کردن§v-9373	
106854	f˸چشم نواز کردن#v1	f˸عضو هم‌نشیم	f˸چشم نواز کردن§v-9373	
106855	f˸چشم نواز کردن§v-9373	f˸ISA	f˸بهبود بخشیدن§v-9370	
106856	f˸چشم نواز کردن§v-9373	f˸مثال	f˸"سبد گل منظره میز را چشم نواز کرد"	
106856	f˸چشم نواز کردن§v-9373	f˸مثال	f˸"سبد گل منظره میز را چشم نواز کرد"	
106857	f˸چشم نواز کردن§v-9373	f˸تعریف	f˸"بصورتی درآوردن که دیدن آن مطبوع و خوشایند است"	
106858	f˸چشم و گوش بسته#r1	f˸عضو هم‌نشیم	f˸چشم‌و‌گوش‌بسته§r-15309	
106858	f˸چشم و گوش بسته#r1	f˸عضو هم‌نشیم	f˸چشم‌و‌گوش‌بسته§r-15309	
106859	f˸چشم پزشک#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشک§n-21305	
106859	f˸چشم پزشک#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشک§n-21305	
106860	f˸چشم پزشکی#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشکی§n-21307	
106860	f˸چشم پزشکی#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشکی§n-21307	
106861	f˸چشم پوشی کردن#v1	f˸عضو هم‌نشیم	f˸گذشتن§v-8813	
106862	f˸چشم پوشی#n1	f˸عضو هم‌نشیم	f˸صرف نظر§n-11524	
106863	f˸چشم پوشی#n2	f˸عضو هم‌نشیم	f˸گذشتن§n-14959	
106864	f˸چشم پوشیدن#v1	f˸عضو هم‌نشیم	f˸گذشتن§v-8813	
106865	f˸چشم پوشیدن#v2	f˸عضو هم‌نشیم	f˸نادیده انگاشتن§v-9562	
106866	f˸چشم چپ#a1	f˸عضو هم‌نشیم	f˸چشم‌چپ§a-17686	
106866	f˸چشم چپ#a1	f˸عضو هم‌نشیم	f˸چشم‌چپ§a-17686	
106867	f˸چشم#n1	f˸عضو هم‌نشیم	f˸چشم§n-14221	
106867	f˸چشم#n1	f˸عضو هم‌نشیم	f˸چشم§n-14221	
106868	f˸چشم#n2	f˸عضو هم‌نشیم	f˸عین§n-10314	
106869	f˸چشم#n3	f˸عضو هم‌نشیم	f˸چشم§n-14222	
106869	f˸چشم#n3	f˸عضو هم‌نشیم	f˸چشم§n-14222	
106870	f˸چشم§n-14221	f˸مرتبط با	f˸خیاطی§n-19809	
106871	f˸چشم§n-14221	f˸ISA	f˸سوراخ§n-11000	
106872	f˸چشم§n-14221	f˸مثال	f˸"چشم سوزن را نمی بینم"	
106872	f˸چشم§n-14221	f˸مثال	f˸"چشم سوزن را نمی بینم"	
106873	f˸چشم§n-14221	f˸تعریف	f˸"سوراخی که در انتهای سوزن قرار دارد"	
106874	f˸چشم§n-14222	f˸مرتبط با	f˸رشد§n-12235	
106875	f˸چشم§n-14222	f˸ISA	f˸ثقبه§n-13304	
106876	f˸چشم§n-14222	f˸ISA	f˸تیج§n-15019	
106877	f˸چشم§n-14222	f˸مثال	f˸"چشم سیب زمینی قابلیت تبدیل شدن به یک بوته ی سیب زمینی را دارد"	
106877	f˸چشم§n-14222	f˸مثال	f˸"چشم سیب زمینی قابلیت تبدیل شدن به یک بوته ی سیب زمینی را دارد"	
106878	f˸چشم§n-14222	f˸تعریف	f˸"هر یک از جوانه های روی غده ی گیاه سیب زمینی"	
106879	f˸چشمخانه#n1	f˸عضو هم‌نشیم	f˸چشمخانه§n-18935	
106879	f˸چشمخانه#n1	f˸عضو هم‌نشیم	f˸چشمخانه§n-18935	
106880	f˸چشمخانه§n-18935	f˸ISA	f˸حفره§n-11273	
106881	f˸چشمخانه§n-18935	f˸مثال	f˸"بر اثر بی خوابی چشمانش از حدقه بیرون زده."	
106881	f˸چشمخانه§n-18935	f˸مثال	f˸"بر اثر بی خوابی چشمانش از حدقه بیرون زده."	
106882	f˸چشمخانه§n-18935	f˸تعریف	f˸"(کالبدشناسی) حفره ای که چشم در آن جا دارد."	
106882	f˸چشمخانه§n-18935	f˸تعریف	f˸"(کالبدشناسی) حفره ای که چشم در آن جا دارد."	
106883	f˸چشمداشت#n1	f˸عضو هم‌نشیم	f˸چشمداشت§n-11648	
106883	f˸چشمداشت#n1	f˸عضو هم‌نشیم	f˸چشمداشت§n-11648	
106884	f˸چشمداشت§n-11648	f˸مرتبط با	f˸رو§n-13626	
106885	f˸چشمداشت§n-11648	f˸ISA	f˸چشم‌انتظاری§n-20424	
106885	f˸چشمداشت§n-11648	f˸ISA	f˸چشم‌انتظاری§n-20424	
106886	f˸چشمداشت§n-11648	f˸مثال	f˸"چشم داشت او به دریافت جایزه"	
106886	f˸چشمداشت§n-11648	f˸مثال	f˸"چشم داشت او به دریافت جایزه"	
106887	f˸چشمداشت§n-11648	f˸تعریف	f˸"انتظار و توقع امری یا چیزی از کسی"	
106888	f˸چشمه آب معدنی#n1	f˸عضو هم‌نشیم	f˸چشمه معدنی§n-11892	
106888	f˸چشمه آب معدنی#n1	f˸عضو هم‌نشیم	f˸چشمه معدنی§n-11892	
106889	f˸چشمه معدنی#n1	f˸عضو هم‌نشیم	f˸چشمه معدنی§n-11892	
106889	f˸چشمه معدنی#n1	f˸عضو هم‌نشیم	f˸چشمه معدنی§n-11892	
106890	f˸چشمه معدنی§n-11892	f˸مرتبط با	f˸آب§n-12570	
106891	f˸چشمه معدنی§n-11892	f˸ISA	f˸تماشاگاه§n-11873	
106892	f˸چشمه معدنی§n-11892	f˸مثال	f˸"آب این چشمه معدنی را در بطری می فروشند"	
106892	f˸چشمه معدنی§n-11892	f˸مثال	f˸"آب این چشمه معدنی را در بطری می فروشند"	
106893	f˸چشمه معدنی§n-11892	f˸تعریف	f˸"چشمه ای که آب آن حاوی املاح معدنی است"	
106893	f˸چشمه معدنی§n-11892	f˸تعریف	f˸"چشمه ای که آب آن حاوی املاح معدنی است"	
106894	f˸چشمه#n1	f˸عضو هم‌نشیم	f˸منبع§n-10099	
106895	f˸چشمه#n2	f˸عضو هم‌نشیم	f˸سرچشمه§n-13313	
106895	f˸چشمه#n2	f˸عضو هم‌نشیم	f˸سرچشمه§n-13313	
106896	f˸چشمه#n3	f˸عضو هم‌نشیم	f˸چشمه§n-10100	
106896	f˸چشمه#n3	f˸عضو هم‌نشیم	f˸چشمه§n-10100	
106897	f˸چشمه§n-10100	f˸مرتبط با	f˸مهارت§n-12978	
106898	f˸چشمه§n-10100	f˸ISA	f˸نمونه§n-14810	
106899	f˸چشمه§n-10100	f˸مثال	f˸"او یک چشمه از مهارت خود را برای ما به نمایش گذاشت"	
106899	f˸چشمه§n-10100	f˸مثال	f˸"او یک چشمه از مهارت خود را برای ما به نمایش گذاشت"	
106900	f˸چشمه§n-10100	f˸تعریف	f˸"نمونه یا بخشی از هنر یا مهارت به ویژه در کارهای نمایشی"	
106901	f˸چشمک زدن#v1	f˸عضو هم‌نشیم	f˸چشمک زدن§v-9450	
106901	f˸چشمک زدن#v1	f˸عضو هم‌نشیم	f˸چشمک زدن§v-9450	
106902	f˸چشمک زدن#v2	f˸عضو هم‌نشیم	f˸چشمک زدن§v-9449	
106902	f˸چشمک زدن#v2	f˸عضو هم‌نشیم	f˸چشمک زدن§v-9449	
106903	f˸چشمک زدن§v-9449	f˸ISA	f˸سوسو زدن§v-9448	
106904	f˸چشمک زدن§v-9449	f˸مثال	f˸"ستاره کور گوشهُ آسمان چشمک می زند"	
106904	f˸چشمک زدن§v-9449	f˸مثال	f˸"ستاره کور گوشهُ آسمان چشمک می زند"	
106905	f˸چشمک زدن§v-9449	f˸تعریف	f˸"خاموش و روشن شدن یا کم نور و پر نور شدن سرع و پی در پی هر منبع نوری"	
106906	f˸چشمک زدن§v-9450	f˸ISA	f˸اشاره کردن§v-9496	
106907	f˸چشمک زدن§v-9450	f˸مثال	f˸"همه به هم چشمک می زدند و من به روی مبارکم نمی آوردم"	
106907	f˸چشمک زدن§v-9450	f˸مثال	f˸"همه به هم چشمک می زدند و من به روی مبارکم نمی آوردم"	
106908	f˸چشمک زدن§v-9450	f˸تعریف	f˸"بستن و باز کردن سریع یک چشم برای اشاره به امری معمولاً پنهانی"	
106908	f˸چشمک زدن§v-9450	f˸تعریف	f˸"بستن و باز کردن سریع یک چشم برای اشاره به امری معمولاً پنهانی"	
106909	f˸چشمک زن#a1	f˸عضو هم‌نشیم	f˸چشمک‌زن§a-18045	
106909	f˸چشمک زن#a1	f˸عضو هم‌نشیم	f˸چشمک‌زن§a-18045	
106910	f˸چشمک‌زن#a1	f˸عضو هم‌نشیم	f˸چشمک‌زن§a-18045	
106910	f˸چشمک‌زن#a1	f˸عضو هم‌نشیم	f˸چشمک‌زن§a-18045	
106911	f˸چشمک‌زن§a-18045	f˸مرتبط با	f˸چشمک زدن§v-9449	
106911	f˸چشمک‌زن§a-18045	f˸مرتبط با	f˸چشمک زدن§v-9449	
106912	f˸چشمک‌زن§a-18045	f˸مثال	f˸"چراغ چشمک زن روشن بود و مدام خاموش و روشن می شد"	
106912	f˸چشمک‌زن§a-18045	f˸مثال	f˸"چراغ چشمک زن روشن بود و مدام خاموش و روشن می شد"	
106913	f˸چشمک‌زن§a-18045	f˸تعریف	f˸"ویژگی آنچه به طور متناوب و لحظه ای خاموش و روشن می شود"	
106914	f˸چشمگیر#a1	f˸عضو هم‌نشیم	f˸چشمگیر§a-1564	
106914	f˸چشمگیر#a1	f˸عضو هم‌نشیم	f˸چشمگیر§a-1564	
106915	f˸چشمگیر§a-1564	f˸مثال	f˸"هنرمند برجسته را همه شهر می شناختند و به او احترام می گذاشتند"	
106916	f˸چشمگیر§a-1564	f˸تعریف	f˸"دارای اهمیت و برجستگی"	
106917	f˸چشمی#a1	f˸عضو هم‌نشیم	f˸چشمی§a-402	
106917	f˸چشمی#a1	f˸عضو هم‌نشیم	f˸چشمی§a-402	
106918	f˸چشمی§a-402	f˸مرتبط با	f˸عین§n-10314	
106919	f˸چشمی§a-402	f˸مثال	f˸"بیماری های چشمی"	
106919	f˸چشمی§a-402	f˸مثال	f˸"بیماری های چشمی"	
106920	f˸چشمی§a-402	f˸تعریف	f˸"مربوط به چشم"	
106920	f˸چشمی§a-402	f˸تعریف	f˸"مربوط به چشم"	
106921	f˸چشم‌انتظاری#n1	f˸عضو هم‌نشیم	f˸چشم‌انتظاری§n-20424	
106921	f˸چشم‌انتظاری#n1	f˸عضو هم‌نشیم	f˸چشم‌انتظاری§n-20424	
106922	f˸چشم‌انتظاری§n-20424	f˸مرتبط با	f˸مترصد§r-17172	
106923	f˸چشم‌انتظاری§n-20424	f˸مرتبط با	f˸در انتظار (چیزی، کسی) بودن§v-20158	
106924	f˸چشم‌انتظاری§n-20424	f˸ISA	f˸احساسات§n-10394	
106925	f˸چشم‌انتظاری§n-20424	f˸مثال	f˸"چشم انتظاری برای دیدن عزیزان سخت است"	
106925	f˸چشم‌انتظاری§n-20424	f˸مثال	f˸"چشم انتظاری برای دیدن عزیزان سخت است"	
106926	f˸چشم‌انتظاری§n-20424	f˸تعریف	f˸"انتظار"	
106927	f˸چشم‌بادامی#a1	f˸عضو هم‌نشیم	f˸چشم‌بادامی§a-2296	
106927	f˸چشم‌بادامی#a1	f˸عضو هم‌نشیم	f˸چشم‌بادامی§a-2296	
106928	f˸چشم‌بادامی§a-2296	f˸مثال	f˸"اغلب ملت های شرق آسیا چشم بادامی هستند"	
106928	f˸چشم‌بادامی§a-2296	f˸مثال	f˸"اغلب ملت های شرق آسیا چشم بادامی هستند"	
106929	f˸چشم‌بادامی§a-2296	f˸تعریف	f˸"شبیه بادام"	
106930	f˸چشم‌بسته#r1	f˸عضو هم‌نشیم	f˸چشم‌بسته§r-16885	
106930	f˸چشم‌بسته#r1	f˸عضو هم‌نشیم	f˸چشم‌بسته§r-16885	
106931	f˸چشم‌بسته§r-16885	f˸مرتبط با	f˸عین§n-10314	
106932	f˸چشم‌بسته§r-16885	f˸مثال	f˸"می ترسید و چشم بسته از کنار رودخانه عبور کرد"	
106932	f˸چشم‌بسته§r-16885	f˸مثال	f˸"می ترسید و چشم بسته از کنار رودخانه عبور کرد"	
106933	f˸چشم‌بسته§r-16885	f˸تعریف	f˸"بدون نگاه کردن یا دیدن"	
106934	f˸چشم‌خانه#n1	f˸عضو هم‌نشیم	f˸چشمخانه§n-18935	
106934	f˸چشم‌خانه#n1	f˸عضو هم‌نشیم	f˸چشمخانه§n-18935	
106935	f˸چشم‌و‌گوش‌بسته#r1	f˸عضو هم‌نشیم	f˸چشم‌و‌گوش‌بسته§r-15309	
106935	f˸چشم‌و‌گوش‌بسته#r1	f˸عضو هم‌نشیم	f˸چشم‌و‌گوش‌بسته§r-15309	
106936	f˸چشم‌و‌گوش‌بسته§r-15309	f˸متضاد	f˸سنجیده§r-15308	
106937	f˸چشم‌و‌گوش‌بسته§r-15309	f˸مرتبط با	f˸ناآگاه§n-14105	
106938	f˸چشم‌و‌گوش‌بسته§r-15309	f˸مثال	f˸"ناآگاهانه به دام اعتیاد افتاد"	
106939	f˸چشم‌و‌گوش‌بسته§r-15309	f˸تعریف	f˸"بدون اطلاع و از سر ناآگاهی"	
106940	f˸چشم‌پزشک#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشک§n-21305	
106940	f˸چشم‌پزشک#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشک§n-21305	
106941	f˸چشم‌پزشک§n-21305	f˸مرتبط با	f˸عینکی§a-975	
106942	f˸چشم‌پزشک§n-21305	f˸مرتبط با	f˸عین§n-10314	
106943	f˸چشم‌پزشک§n-21305	f˸ISA	f˸طبیب§n-13355	
106944	f˸چشم‌پزشک§n-21305	f˸مثال	f˸"برای معاینه چشمم باید بروم پیش چشم پزشک"	
106944	f˸چشم‌پزشک§n-21305	f˸مثال	f˸"برای معاینه چشمم باید بروم پیش چشم پزشک"	
106944	f˸چشم‌پزشک§n-21305	f˸مثال	f˸"برای معاینه چشمم باید بروم پیش چشم پزشک"	
106945	f˸چشم‌پزشک§n-21305	f˸تعریف	f˸"پزشک بیماریهای چشم"	
106945	f˸چشم‌پزشک§n-21305	f˸تعریف	f˸"پزشک بیماریهای چشم"	
106946	f˸چشم‌پزشکی#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشکی§n-21307	
106946	f˸چشم‌پزشکی#n1	f˸عضو هم‌نشیم	f˸چشم‌پزشکی§n-21307	
106947	f˸چشم‌پزشکی§n-21307	f˸مرتبط با	f˸عینکی§a-975	
106948	f˸چشم‌پزشکی§n-21307	f˸مرتبط با	f˸عین§n-10314	
106949	f˸چشم‌پزشکی§n-21307	f˸مرتبط با	f˸بیماری§n-12437	
106950	f˸چشم‌پزشکی§n-21307	f˸مرتبط با	f˸چشم‌پزشک§n-21305	
106950	f˸چشم‌پزشکی§n-21307	f˸مرتبط با	f˸چشم‌پزشک§n-21305	
106951	f˸چشم‌پزشکی§n-21307	f˸ISA	f˸پزشکی§n-14638	
106952	f˸چشم‌پزشکی§n-21307	f˸مثال	f˸"چون به چشم پزشکی علاقه داشت، چشم پزشک شد"	
106952	f˸چشم‌پزشکی§n-21307	f˸مثال	f˸"چون به چشم پزشکی علاقه داشت، چشم پزشک شد"	
106952	f˸چشم‌پزشکی§n-21307	f˸مثال	f˸"چون به چشم پزشکی علاقه داشت، چشم پزشک شد"	
106953	f˸چشم‌پزشکی§n-21307	f˸تعریف	f˸"شاخه ای از دانش پزشکی مربوط به مطالعه ساختمان، کارکرد، بیماریها و درمان چشم"	
106953	f˸چشم‌پزشکی§n-21307	f˸تعریف	f˸"شاخه ای از دانش پزشکی مربوط به مطالعه ساختمان، کارکرد، بیماریها و درمان چشم"	
106954	f˸چشم‌چپ#a1	f˸عضو هم‌نشیم	f˸چشم‌چپ§a-17686	
106954	f˸چشم‌چپ#a1	f˸عضو هم‌نشیم	f˸چشم‌چپ§a-17686	
106955	f˸چشم‌چپ§a-17686	f˸مثال	f˸"چشم پزشک، بیمار لوچ را با دستگاه معاینه کرد"	
106955	f˸چشم‌چپ§a-17686	f˸مثال	f˸"چشم پزشک، بیمار لوچ را با دستگاه معاینه کرد"	
106956	f˸چشم‌چپ§a-17686	f˸تعریف	f˸"مبتلا به لوچی"	
107233	f˸چهار چشمی#r1	f˸عضو هم‌نشیم	f˸چارچشمی§r-16890	
107233	f˸چهار چشمی#r1	f˸عضو هم‌نشیم	f˸چارچشمی§r-16890	
107302	f˸چهارچشمی#r1	f˸عضو هم‌نشیم	f˸چارچشمی§r-16890	
107302	f˸چهارچشمی#r1	f˸عضو هم‌نشیم	f˸چارچشمی§r-16890	
107303	f˸چهارچشمی#r2	f˸عضو هم‌نشیم	f˸چارچشمی§r-16890	
107303	f˸چهارچشمی#r2	f˸عضو هم‌نشیم	f˸چارچشمی§r-16890	
107575	f˸چکش ماهی§n-21349	f˸تعریف	f˸"گونه‌ای ماهی غضروفی از زیر راسته‌ی کوسه ماهیان که دو زایده در دوطرف سر دارد که چشمها بر ان قرار دارند"	
107996	f˸ژپن§n-23469	f˸مرتبط با	f˸چشم نواز کردن§v-9373	
108136	f˸کاج§n-22661	f˸مثال	f˸"به خاطر لوچی چشمش هروقت به من نگاه می کرد فکر می کردم به کس دیگری دارد نگاه می کند"	
108137	f˸کاج§n-22661	f˸تعریف	f˸"ناهماهنگی ماهیچه های کره چشم که سبب می شود میدان دید دو چشم با یکدیگر تطبیق نکند"	
108137	f˸کاج§n-22661	f˸تعریف	f˸"ناهماهنگی ماهیچه های کره چشم که سبب می شود میدان دید دو چشم با یکدیگر تطبیق نکند"	
109008	f˸کاسه چشم#n1	f˸عضو هم‌نشیم	f˸چشمخانه§n-18935	
109008	f˸کاسه چشم#n1	f˸عضو هم‌نشیم	f˸چشمخانه§n-18935	
109378	f˸کاندید§n-24345	f˸مرتبط با	f˸هم چشمی§n-14643	
111475	f˸کله§n-12968	f˸تعریف	f˸"بالاترین یا جلوآمده ترین بخش بدم مهره داران شامل صورت و مغز و چشمها"	
112036	f˸کم‌سو§a-17456	f˸مثال	f˸"با آن چشمان کم سو به سختی می توانست در شب رانندگی کند"	
112714	f˸کورده§n-24194	f˸مثال	f˸"مسیر کلی کورده (رود) شمال باختری بوده و از کوه بهاش در 37 کیلومتری باختر جنوبی لار و 17 کیلومتری جنوب باختری اوز سرچشمه می‌گیرد"	
112722	f˸کوررنگی§n-19578	f˸تعریف	f˸"@پزشکی@ نقصی در چشم که مانع تشخیص رنگهای سرخ و سبز یا به طورکلی مانع تشخیص همه یا برخی از رنگهاست"	
113279	f˸کیست تخمدان§n-25159	f˸تعریف	f˸"کیست تخمدان بیماری است که از تشکیل یک یا چندین کیست غیر طبیعی در تخمدان سرچشمه می‌گیرد"	
113472	f˸کیوان§n-20456	f˸تعریف	f˸"دومین سیاره‌ی بزرگ منظومه‌ی شمسی پس از مشتری و ششمین سیاره از لحاظ فاصله از خورشید، که با چشم غیر مسلح دیده می شود و یک حلقه‌ی نورانی دور آن را فرا گرفته است"	
113597	f˸گاز اشک آور§n-14420	f˸تعریف	f˸"هر یک از انواع گازهای فرار که از راه تنفس وارد خون می شود و اعصاب چشم را تحریک می کند و باعث ریزش اشک می شود"	
114585	f˸گرمانرم§a-17497	f˸تعریف	f˸"ویژگی نوعی پلاستیک که هنگام گرما دیدن نرم می شود و پس از سرد شدن سفت می شود و می توان این فرایند را بارها تکرار کرد بدون آن که تغییر چشمگیری در خواص آن ایجا شود"	
114913	f˸گریه§n-15717	f˸تعریف	f˸"فرو ریختن اشک از چشم"	
115183	f˸گشادی§n-15734	f˸مثال	f˸"گشادی لباس او خیلی به چشم می امد"	
115529	f˸گله‌دار§n-24331	f˸مثال	f˸"مسیر کلی این رود به س گله‌دار (رود) جنوب باختری بوده و از کوه های خطابان و چنارو در 50 کیلومتری جنوب خاوری ده بید سرچشمه گرفته و به نام رودخانه سرمیدان از دره شمالی کوه چنارو سرازیر می شود"	
115672	f˸گل‌مژه§n-22949	f˸مثال	f˸"روی پلک چشمم دو تا گل مژه زده که درد دارد"	
115673	f˸گل‌مژه§n-22949	f˸تعریف	f˸"جوش چرکی در بافت پیوندی پلک چشم"	
116956	f˸یاری§n-12120	f˸تعریف	f˸"فعالیتی بدون چشم داشت مزد برای کسی تا نیاز او برطرف شود یا به هدفش برسد"	
117384	f˸یوبرگات§n-24332	f˸مثال	f˸"یوبرگات در ارتفاع 1٬259 متری رشته کوه‌های سرا دل کادی سرچشمه می‌گیرد و در دریای مدیترانه پایان می‌یابد"	
117588	f˸یک چشم#a1	f˸عضو هم‌نشیم	f˸یک چشم§a-876	
117588	f˸یک چشم#a1	f˸عضو هم‌نشیم	f˸یک چشم§a-876	
117589	f˸یک چشم§a-876	f˸مرتبط با	f˸عین§n-10314	
117590	f˸یک چشم§a-876	f˸مثال	f˸"فقیر یک چشم"	
117590	f˸یک چشم§a-876	f˸مثال	f˸"فقیر یک چشم"	
117591	f˸یک چشم§a-876	f˸تعریف	f˸"دارای یک چشم"	
117591	f˸یک چشم§a-876	f˸تعریف	f˸"دارای یک چشم"	
3	f˸(با کسی) خوابیدن§v-9385	f˸مثال	f˸"با چند نفر سکس دارد"	
665	f˸آبوجا§n-23976	f˸مثال	f˸"جمعیت آبوجا 778,567 نفر است ."	
787	f˸آب‌خاکی§a-17809	f˸تعریف	f˸"ویژگی عملیات، ادوات، تجهیزات و نفراتی که توامان توانایی عمل در دریا و خشکی را دارند"	
873	f˸آتش نشان§n-15091	f˸ISA	f˸نفر§n-13075	
1056	f˸آخن§n-25040	f˸مثال	f˸"آخن در ایالت نوردراین-وستفالن و در مرز هلند قرار گرفته و 257089 نفر جمعیت دارد"	
1097	f˸آدرنالین#n1	f˸عضو هم‌نشیم	f˸اپی‌نفرین§n-20706	
1115	f˸آدم ناهنجار§n-11944	f˸ISA	f˸نفر§n-13075	
1125	f˸آدم#n5	f˸عضو هم‌نشیم	f˸نفر§n-13075	
1140	f˸آدم§n-14707	f˸ISA	f˸نفر§n-13075	
1152	f˸آدمیزاد#n1	f˸عضو هم‌نشیم	f˸نفر§n-13075	
2121	f˸آشتی§n-14690	f˸تعریف	f˸"پایان یافتن ناسازگاری و اختلاف بین دو یا چند نفر"	
2172	f˸آشنا§n-13340	f˸ISA	f˸نفر§n-13075	
2229	f˸آشپز§n-15083	f˸ISA	f˸نفر§n-13075	
2481	f˸آفریننده§n-13325	f˸ISA	f˸نفر§n-13075	
2931	f˸آمل§n-24739	f˸مثال	f˸"شهرستان آمل با جمعیتی برابر با 343٬747 نفر جمعیت و 3185 کیلومتر مربع مساحت دارای دو شهر آمل و رینه و سه بخش مرکزی، لاریجان و دابودشت است"	
2991	f˸آموزشکده§n-22563	f˸تعریف	f˸"مؤسسه آموزش عالی منفرد، که معمولاً در رشته فنی معینی کاردان تربیت می کند"	
3653	f˸آپیا§n-23978	f˸مثال	f˸"جمعیت آپیا در سال 2001 برابر با 38٬800 نفر بوده‌است و بخشی از شهرستان توآماساگا بشمار می‌آید"	
3707	f˸آکاردئون§n-20762	f˸مثال	f˸"سر چهار راه یک نفر آکاردئون می زد و پول جمع می کرد"	
4231	f˸ابوموسی§n-24835	f˸مثال	f˸"جمعیت شهرستان ابوموسی طبق سرشماری عمومی نفوس و مسکن در سال 1385، برابر با 1٬860 نفر بوده‌است"	
4794	f˸اجتماعی§a-2036	f˸متضاد	f˸تک نفره§a-321	
4887	f˸اجلاسیه§n-14051	f˸مثال	f˸"کنفرانس زبانشناسی"	
5082	f˸احضار§n-11504	f˸مرتبط با	f˸نفر§n-13075	
5387	f˸اخلالگر§n-20075	f˸ISA	f˸نفر§n-13075	
5781	f˸ارتباط شنیداری§n-14067	f˸مثال	f˸"ارتباط شنیداری بین دو نفر در آموزش بسیار مهم است"	
5987	f˸اردستان§n-24789	f˸تعریف	f˸"شهرستان اردستان با مساحت 11591 کیلومترمربع و جمعیتی بالغ بر 45150 نفر در فاصله 118 کیلومتری شمال شرق مرکز استان اصفهان قرار دارد"	
6359	f˸ارکیده§n-20732	f˸تعریف	f˸"گیاه زینتی از تیره‌ی ثعلبیان، دارای گلهای منفرد صورتی یا سفید که در گلخانه پرورش می‌دهند"	
6689	f˸ازگیل§n-20739	f˸تعریف	f˸"درختچه‌ی خاردار از تیره‌ی گلسرخیان، دارای گلهای منفرد درشت، میوه‌ی خرمایی تیره و چوب محکم"	
6720	f˸اسامه بن لادن§n-25045	f˸ISA	f˸نفر§n-13075	
6939	f˸استان کرمان§n-23917	f˸مثال	f˸"جمعیت استان کرمان برابر 2٬947٬345 نفر و مرکز آن شهر کرمان است و بیش از 11 درصد وسعت کشور را دربرمی‌گیرد"	
7285	f˸استشهادنامه§n-25470	f˸مثال	f˸"در استشهادنامه چند نفر علیه او شهادت داده و امضا کرده بودند"	
7508	f˸استنفورد§n-25043	f˸تعریف	f˸"دانشگاه استنفورد دانشگاهی است در استنفورد در نزدیکی شهر سانفرانسیسکو در ایالت کالیفرنیا در کشور آمریکا"	
7572	f˸استیلا§n-12474	f˸مرتبط با	f˸نفر§n-13075	
7971	f˸اسکواش§n-20906	f˸تعریف	f˸"@ورزش@ نوعی بازی دو یا چهار نفره با راکت و توپ، شبیه تنیس"	
8106	f˸اشتغال§n-14724	f˸مثال	f˸"این شرکت باعث اشتغال بیش از صد نفر شده است"	
8175	f˸اشمئزاز§n-11638	f˸ISA	f˸تنفر§n-11637	
8177	f˸اشمئزاز§n-11638	f˸تعریف	f˸"تنفر و نفرت شدید که حال انسان را منقلب و بد می نماید"	
8177	f˸اشمئزاز§n-11638	f˸تعریف	f˸"تنفر و نفرت شدید که حال انسان را منقلب و بد می نماید"	
8509	f˸اطرافیان§n-16792	f˸ISA	f˸نفر§n-13075	
8803	f˸اعدام کردن§v-9572	f˸مثال	f˸"سه نفر از سران را گرفتند و چند ماه بعد اعدامشان کردند"	
8811	f˸اعدام§n-22522	f˸مثال	f˸"به خاطر قتل سه نفر محکوم به اعدام شد"	
8928	f˸اعمی§n-18509	f˸ISA	f˸نفر§n-13075	
10025	f˸ام الائمه§n-26075	f˸مثال	f˸"حضرت زهرا از اعضای اهل بیت حضرت محمد و یکی از پنج نفر موسوم به آل کسا (آل عبا) می باشد"	
10045	f˸امام جماعت§n-14544	f˸ISA	f˸نفر§n-13075	
10280	f˸امر§n-11502	f˸مرتبط با	f˸نفر§n-13075	
